Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location
AA,Alcoa,Materials,Aluminum,"Pittsburgh, Pennsylvania"
AAL,American Airlines Group,Industrials,Passenger Airlines,"Fort Worth, Texas"
AAON,AAON,Industrials,Building Products,"Tulsa, Oklahoma"
ACHC,Acadia Healthcare,Health Care,Health Care Facilities,"Franklin, Tennessee"
ACI,Albertsons,Consumer Staples,Food Retail,"Boise, Idaho"
ACM,AECOM,Industrials,Construction & Engineering,"Dallas, Texas"
ADC,Agree Realty,Real Estate,Retail REITs,"Bloomfield Hills, Michigan"
AFG,American Financial Group,Financials,Multi-line Insurance,"Cincinnati, Ohio"
AGCO,AGCO,Industrials,Agricultural & Farm Machinery,"Duluth, Georgia"
AIT,Applied Industrial Technologies,Industrials,Trading Companies & Distributors,"Cleveland, Ohio"
ALE,ALLETE,Utilities,Electric Utilities,"Duluth, Minnesota"
ALGM,Allegro MicroSystems,Information Technology,Semiconductors,"Manchester, New Hampshire"
ALK,Alaska Air Group,Industrials,Passenger Airlines,"SeaTac, Washington"
ALLY,Ally Financial,Financials,Consumer Finance,"Detroit, Michigan"
ALV,Autoliv,Consumer Discretionary,Automotive Parts & Equipment,"Stockholm, Sweden"
AM,Antero Midstream,Energy,Oil & Gas Storage & Transportation,"Denver, Colorado"
AMED,Amedisys,Health Care,Health Care Services,"Baton Rouge, Louisiana"
AMG,Affiliated Managers Group,Financials,Asset Management & Custody Banks,"West Palm Beach, Florida"
AMH,American Homes 4 Rent,Real Estate,Single-Family Residential REITs,"Las Vegas, Nevada"
AMKR,Amkor Technology,Information Technology,Semiconductors,"Tempe, Arizona"
AN,AutoNation,Consumer Discretionary,Automotive Retail,"Fort Lauderdale, Florida"
ANF,Abercrombie & Fitch,Consumer Discretionary,Apparel Retail,"New Albany, Ohio"
APPF,AppFolio,Information Technology,Application Software,"Goleta, California"
AR,Antero Resources,Energy,Oil & Gas Exploration & Production,"Denver, Colorado"
ARMK,Aramark,Consumer Discretionary,Distributors,"Philadelphia, Pennsylvania"
ARW,Arrow Electronics,Information Technology,Technology Distributors,"Centennial, Colorado"
ASB,Associated Bank,Financials,Regional Banks,"Green Bay, Wisconsin"
ASGN,ASGN Inc.,Information Technology,IT Consulting & Other Services,"Glen Allen, Virginia"
ASH,Ashland Global,Materials,Diversified Chemicals,"Wilmington, Delaware"
ATI,ATI Inc.,Industrials,Aerospace & Defense,"Dallas, Texas"
ATR,AptarGroup,Materials,"Metal, Glass & Plastic Containers","Crystal Lake, Illinois"
AVNT,Avient,Materials,Specialty Chemicals,"Avon Lake, Ohio"
AVT,Avnet,Information Technology,Technology Distributors,"Phoenix, Arizona"
AVTR,Avantor,Health Care,Life Sciences Tools & Services,"Radnor, Pennsylvania"
AXTA,Axalta,Materials,Specialty Chemicals,"Philadelphia, Pennsylvania"
AYI,Acuity Brands,Industrials,Electrical Components & Equipment,"Atlanta, Georgia"
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,"Columbus, Ohio"
BC,Brunswick,Consumer Discretionary,Leisure Products,"Mettawa, Illinois"
