Symbol,Company,GICS Sector,GICS Sub-Industry,Headquarters Location,CIK
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",1158449
AAT,American Assets Trust,Real Estate,Diversified REITs,"San Diego, California",1500217
ABCB,Ameris Bancorp,Financials,Regional Banks,"Atlanta, Georgia",351569
ABG,Asbury Automotive Group,Consumer Discretionary,Automotive Retail,"Duluth, Georgia",1144980
ABM,"ABM Industries, Inc.",Industrials,Environmental & Facilities Services,"New York City, New York",771497
ABR,Arbor Realty Trust,Financials,Mortgage REITs,"Uniondale, New York",1253986
ACA,"Arcosa, Inc.",Industrials,Industrial Machinery,"Dallas, Texas",1739445
ACAD,Acadia Pharmaceuticals,Health Care,Pharmaceuticals,"San Diego, California",1070494
ACIW,ACI Worldwide,Information Technology,Application Software,"Miami, Florida",935036
ACLS,"Axcelis Technologies, Inc.",Information Technology,Semiconductor Equipment,"Beverly, Massachusetts",1113232
ACT,"Enact Holdings, Inc.",Financials,Commercial & Residential Mortgage Finance,"Raleigh, North Carolina",1823529
ADEA,"Adeia, Inc.",Information Technology,IT Consulting & Other Services,"San Jose, California",1803696
ADMA,"ADMA Biologics, Inc.",Health Care,Biotechnology,"Ramsey, New Jersey",1368514
ADNT,Adient,Consumer Discretionary,Automotive Parts & Equipment,"Plymouth, Michigan",1670541
ADUS,Addus HomeCare Corp.,Health Care,Health Care Services,"Frisco, Texas",1468328
AEIS,Advanced Energy,Information Technology,Semiconductor Equipment,"Denver, Colorado",927003
AEO,American Eagle Outfitters,Consumer Discretionary,Apparel Retail,"Pittsburgh, Pennsylvania",919012
AESI,"Atlas Energy Solutions, Inc.",Energy,Oil & Gas Equipment & Services,"Austin, Texas",1984060
AGO,Assured Guaranty Ltd.,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",1273813
AGYS,"Agilysys, Inc.",Information Technology,Application Software,"Alpharetta, Georgia",78749
AHCO,AdaptHealth Corp.,Health Care,Health Care Equipment,"Plymouth Meeting, Pennsylvania",1725255
AHH,"Armada Hoffler Properties, Inc.",Real Estate,Diversified REITs,"Virginia Beach, Virginia",1569187
AIN,Albany International Corp.,Industrials,Industrial Machinery,"Rochester, New Hampshire",819793
AIR,AAR CORP.,Industrials,Aerospace & Defense,"Wood Dale, Illinois",1750
AKR,Acadia Realty Trust,Real Estate,Retail REITs,"Rye, New York",899629
AL,Air Lease Corporation,Industrials,Passenger Airlines,"Los Angeles, California",1487712
ALEX,Alexander & Baldwin,Real Estate,Diversified REITs,"Honolulu, Hawaii",1545654
ALG,Alamo Group,Industrials,Construction Machinery & Heavy Trucks,"Seguin, Texas",897077
ALGT,Allegiant Travel Company,Industrials,Airlines,"Summerlin, Nevada",1362468
ALKS,Alkermes plc,Health Care,Pharmaceuticals,"Dublin, Ireland",1520262
ALRM,"Alarm.Com, Inc.",Financials,Application Software,"Tysons, Virginia",1459200
AMN,"Amn Healthcare Services, Inc.",Health Care,Health Care Services,"Dallas, Texas",1142750
AMPH,"Amphstar Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,"Rancho Cucamonga, California",1297184
AMR,"Alpha Metallurgical Resources, Inc.",Materials,Steel,"Bristol, Tennessee",1704715
