Date,Added,Added,Removed,Removed,Reason
Date,Ticker,Security,Ticker,Security,Reason
"April 17, 2025",STRL,Sterling Infrastructure,PDCO,Patterson Companies,STRL replaced PDCO after it was acquired by Patient Square Capital.[5]
"April 16, 2025",ACT,Enact Holdings,SWI,SolarWinds,ACT replaced SWI after it was acquired by Turn/River Capital.[6]
"April 2, 2025",ANGI,Angi Inc.,ODP,The ODP Corporation,ANGI was spun off from IAC Inc. and replaced ODP which was no longer representative of the small-cap market space.[7]
"March 24, 2025",TFX,Teleflex,VFC,VF Corporation,TFX was moved from the S&P 500 as it was more representative of the small cap market space. VFC was moved to the S&P 400 as it was more representative of the mid-cap market space.[8]
"March 24, 2025",CE,Celanese,ALK,Alaska Air Group,CE was moved from the S&P 500 as it was more representative of the small cap market space. ALK was moved to the S&P 400 as it was more representative of the mid-cap market space.[8]
"March 24, 2025",FMC,FMC Corporation,HIMS,Hims & Hers Health,FMC was moved from the S&P 500 as it was more representative of the small cap market space. HIMS was moved to the S&P 400 as it was more representative of the mid-cap market space.[8]
"March 24, 2025",BWA,BorgWarner,AMBC,Ambac Financial Group,BWA was moved from the S&P 500 as it was more representative of the small cap market space. AMBC was removed from the S&P 600 as it was no longer representative of the small-cap market space.[8]
"March 24, 2025",CC,Chemours,BBWI,"Bath & Body Works, Inc.",CC was moved from the S&P 400 as it was more representative of the small cap market space. BBWI was moved to the S&P 400 as it was more representative of the mid-cap market space.[8]
"March 24, 2025",TDC,Teradata,ATI,ATI Inc.,TDC was moved from the S&P 400 as it was more representative of the small cap market space. ATI was moved to the S&P 400 as it was more representative of the mid-cap market space.[8]
"March 24, 2025",NEOG,Neogen,SATS,EchoStar,NEOG was moved from the S&P 400 as it was more representative of the small cap market space. SATS was moved to the S&P 400 as it was more representative of the mid-cap market space.[8]
"March 24, 2025",RHP,Ryman Hospitality Properties,WNC,Wabash National,RHP replaced WNC as it was no longer representative of the small-cap market space.[8]
"March 24, 2025",ESI,Element Solutions,GDOT,Green Dot Corporation,ESI replaced GDOT as it was no longer representative of the small-cap market space.[8]
