,Symbol,Company,GICS Sector,GICS Sub-Industry,Headquarters Location,CIK
0,AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",1158449
1,AAT,American Assets Trust,Real Estate,Diversified REITs,"San Diego, California",1500217
2,ABCB,Ameris Bancorp,Financials,Regional Banks,"Atlanta, Georgia",351569
3,ABG,Asbury Automotive Group,Consumer Discretionary,Automotive Retail,"Duluth, Georgia",1144980
4,ABM,"ABM Industries, Inc.",Industrials,Environmental & Facilities Services,"New York City, New York",771497
5,ABR,Arbor Realty Trust,Financials,Mortgage REITs,"Uniondale, New York",1253986
6,ACA,"Arcosa, Inc.",Industrials,Industrial Machinery,"Dallas, Texas",1739445
7,ACAD,Acadia Pharmaceuticals,Health Care,Pharmaceuticals,"San Diego, California",1070494
8,ACIW,ACI Worldwide,Information Technology,Application Software,"Miami, Florida",935036
9,ACLS,"Axcelis Technologies, Inc.",Information Technology,Semiconductor Equipment,"Beverly, Massachusetts",1113232
10,ACT,"Enact Holdings, Inc.",Financials,Commercial & Residential Mortgage Finance,"Raleigh, North Carolina",1823529
11,ADEA,"Adeia, Inc.",Information Technology,IT Consulting & Other Services,"San Jose, California",1803696
12,ADMA,"ADMA Biologics, Inc.",Health Care,Biotechnology,"Ramsey, New Jersey",1368514
13,ADNT,Adient,Consumer Discretionary,Automotive Parts & Equipment,"Plymouth, Michigan",1670541
14,ADUS,Addus HomeCare Corp.,Health Care,Health Care Services,"Frisco, Texas",1468328
15,AEIS,Advanced Energy,Information Technology,Semiconductor Equipment,"Denver, Colorado",927003
16,AEO,American Eagle Outfitters,Consumer Discretionary,Apparel Retail,"Pittsburgh, Pennsylvania",919012
17,AESI,"Atlas Energy Solutions, Inc.",Energy,Oil & Gas Equipment & Services,"Austin, Texas",1984060
18,AGO,Assured Guaranty Ltd.,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",1273813
19,AGYS,"Agilysys, Inc.",Information Technology,Application Software,"Alpharetta, Georgia",78749
20,AHCO,AdaptHealth Corp.,Health Care,Health Care Equipment,"Plymouth Meeting, Pennsylvania",1725255
21,AHH,"Armada Hoffler Properties, Inc.",Real Estate,Diversified REITs,"Virginia Beach, Virginia",1569187
22,AIN,Albany International Corp.,Industrials,Industrial Machinery,"Rochester, New Hampshire",819793
23,AIR,AAR CORP.,Industrials,Aerospace & Defense,"Wood Dale, Illinois",1750
24,AKR,Acadia Realty Trust,Real Estate,Retail REITs,"Rye, New York",899629
25,AL,Air Lease Corporation,Industrials,Passenger Airlines,"Los Angeles, California",1487712
26,ALEX,Alexander & Baldwin,Real Estate,Diversified REITs,"Honolulu, Hawaii",1545654
27,ALG,Alamo Group,Industrials,Construction Machinery & Heavy Trucks,"Seguin, Texas",897077
28,ALGT,Allegiant Travel Company,Industrials,Airlines,"Summerlin, Nevada",1362468
29,ALKS,Alkermes plc,Health Care,Pharmaceuticals,"Dublin, Ireland",1520262
30,ALRM,"Alarm.Com, Inc.",Financials,Application Software,"Tysons, Virginia",1459200
31,AMN,"Amn Healthcare Services, Inc.",Health Care,Health Care Services,"Dallas, Texas",1142750
32,AMPH,"Amphstar Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,"Rancho Cucamonga, California",1297184
33,AMR,"Alpha Metallurgical Resources, Inc.",Materials,Steel,"Bristol, Tennessee",1704715
34,AMSF,"Amerisafe, Inc.",Financials,Property & Casualty Insurance,"DeRidder, Louisiana",1018979
35,AMTM,Amentum,Industrials,Diversified Support Services,"Chantilly, Virginia",2011286
36,AMWD,American Woodmark Corp.,Industrials,Building Products,"Winchester, Virginia",794619
37,ANDE,"The Andersons, Inc.",Consumer Staples,Food Distributors,"Maumee, Ohio",821026
38,ANGI,Angi Inc.,Communication Services,Advertising,"Denver, Colorado",1705110
39,ANIP,"ANI Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,"Baudette, Minnesota",1023024
40,AORT,Artivion,Health Care,Health Care Equipment,"Kennesaw, Georgia",784199
41,AOSL,"Alpha and Omega Semiconductor, Ltd.",Information Technology,Semiconductors,"Sunnyvale, California",1387467
42,APAM,"Artisan Partners Asset Management, Inc.",Financials,Asset Management & Custody Banks,"Milwaukee, Wisconsin",1517302
43,APLE,"Apple Hospitality REIT, Inc.",Real Estate,Hotel & Resort REITs,"Richmond, Virginia",1418121
